measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All ages,Hodgkin lymphoma,Rate,2014,0.359747893,0.417887614,0.310306407
Deaths,Global,Both,All ages,Mesothelioma,Rate,2012,0.36232272,0.38236774,0.332499997
Deaths,Global,Both,All ages,Hodgkin lymphoma,Rate,2013,0.362737498,0.417896888,0.314224887
Deaths,Global,Both,All ages,Mesothelioma,Rate,2013,0.365156567,0.385082159,0.333975109
Deaths,Global,Both,All ages,Hodgkin lymphoma,Rate,2012,0.366080783,0.423837989,0.317788038
Deaths,Global,Both,All ages,Mesothelioma,Rate,2014,0.367379995,0.387379796,0.336566181
Deaths,Global,Both,All ages,Hodgkin lymphoma,Rate,2011,0.370239181,0.430338875,0.321067949
Deaths,Global,Both,All ages,Mesothelioma,Rate,2015,0.370574391,0.390484178,0.341168023
Deaths,Global,Both,All ages,Hodgkin lymphoma,Rate,2010,0.372467801,0.434232842,0.323047974
Deaths,Global,Both,All ages,Mesothelioma,Rate,2016,0.37301482,0.393632808,0.34397567
Deaths,Global,Both,All ages,Mesothelioma,Rate,2017,0.374186807,0.394377816,0.344601836
Deaths,Global,Both,All ages,Mesothelioma,Rate,2018,0.375764776,0.39712565,0.342874994
Deaths,Global,Both,All ages,Hodgkin lymphoma,Rate,2009,0.375835292,0.43568283,0.329355609
Deaths,Global,Both,All ages,Mesothelioma,Rate,2019,0.378044275,0.400720162,0.344657074
Deaths,Global,Both,All ages,Hodgkin lymphoma,Rate,2008,0.381109222,0.444244792,0.333168715
Deaths,Global,Both,All ages,Hodgkin lymphoma,Rate,2007,0.38342003,0.448716329,0.336308367
Deaths,Global,Both,All ages,Hodgkin lymphoma,Rate,2006,0.389147692,0.450733472,0.339415122
Deaths,Global,Both,All ages,Hodgkin lymphoma,Rate,2005,0.394773457,0.457465735,0.343897027
Deaths,Global,Both,All ages,Hodgkin lymphoma,Rate,2004,0.400108893,0.461638714,0.348810272
Deaths,Global,Both,All ages,Hodgkin lymphoma,Rate,2003,0.407732059,0.467778695,0.352679792
Deaths,Global,Both,All ages,Hodgkin lymphoma,Rate,2002,0.41692196,0.47092593,0.355482566
Deaths,Global,Both,All ages,Other neoplasms,Rate,1990,0.424384371,0.599493171,0.355329117
Deaths,Global,Both,All ages,Hodgkin lymphoma,Rate,2001,0.426574042,0.477629115,0.359251339
Deaths,Global,Both,All ages,Other neoplasms,Rate,1991,0.42892434,0.600942848,0.361970091
Deaths,Global,Both,All ages,Thyroid cancer,Rate,1990,0.429290311,0.471559251,0.402885418
Deaths,Global,Both,All ages,Thyroid cancer,Rate,1991,0.431219457,0.475142537,0.404635003
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,1990,0.434070482,0.456765206,0.400770085
Deaths,Global,Both,All ages,Other neoplasms,Rate,1992,0.434817308,0.611211181,0.366697963
Deaths,Global,Both,All ages,Thyroid cancer,Rate,1992,0.435221711,0.476228005,0.409001889
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,1991,0.436742453,0.460672559,0.404739767
Deaths,Global,Both,All ages,Hodgkin lymphoma,Rate,2000,0.436812811,0.481478024,0.363891824
Deaths,Global,Both,All ages,Thyroid cancer,Rate,1993,0.440693638,0.484574175,0.414136968
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,1992,0.441820503,0.46470362,0.408986958
Deaths,Global,Both,All ages,Other neoplasms,Rate,1993,0.442705273,0.617147294,0.37386153
Deaths,Global,Both,All ages,Hodgkin lymphoma,Rate,1999,0.444505996,0.485450631,0.367920722
Deaths,Global,Both,All ages,Thyroid cancer,Rate,1994,0.444735323,0.485615008,0.418655116
Deaths,Global,Both,All ages,Thyroid cancer,Rate,1995,0.447225511,0.490647208,0.420128335
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,1993,0.44758947,0.469670111,0.418200738
Deaths,Global,Both,All ages,Other neoplasms,Rate,1994,0.449026033,0.622719167,0.380927688
Deaths,Global,Both,All ages,Thyroid cancer,Rate,1996,0.449029924,0.487470754,0.421574068
Deaths,Global,Both,All ages,Hodgkin lymphoma,Rate,1998,0.450916716,0.490136791,0.369189495
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,1994,0.451197572,0.472902122,0.420711813
Deaths,Global,Both,All ages,Thyroid cancer,Rate,1997,0.452176398,0.488911975,0.422995604
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,1995,0.453390064,0.474446872,0.423086793
Deaths,Global,Both,All ages,Thyroid cancer,Rate,1998,0.456059607,0.492948909,0.427887631
Deaths,Global,Both,All ages,Other neoplasms,Rate,1995,0.456356788,0.628193777,0.388160878
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,1996,0.457519303,0.477992314,0.426434205
Deaths,Global,Both,All ages,Hodgkin lymphoma,Rate,1997,0.460261385,0.498695265,0.376186943
Deaths,Global,Both,All ages,Thyroid cancer,Rate,1999,0.460935391,0.496518273,0.429670448
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,1997,0.461289992,0.482496723,0.430257593
Deaths,Global,Both,All ages,Other neoplasms,Rate,1996,0.46304717,0.631723675,0.394843574
Deaths,Global,Both,All ages,Thyroid cancer,Rate,2000,0.465441193,0.499628152,0.433835383
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,1998,0.46848096,0.488666222,0.435874067
Deaths,Global,Both,All ages,Thyroid cancer,Rate,2001,0.469247541,0.498182701,0.436658838
Deaths,Global,Both,All ages,Other neoplasms,Rate,1997,0.470653811,0.635667955,0.400283658
Deaths,Global,Both,All ages,Hodgkin lymphoma,Rate,1996,0.470886197,0.508199119,0.382623101
Deaths,Global,Both,All ages,Thyroid cancer,Rate,2002,0.475498646,0.507378185,0.443064331
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,1999,0.476331459,0.49718704,0.44368319
Deaths,Global,Both,All ages,Other neoplasms,Rate,1998,0.47967194,0.640340153,0.406414133
Deaths,Global,Both,All ages,Thyroid cancer,Rate,2003,0.48067394,0.509012798,0.446788651
Deaths,Global,Both,All ages,Hodgkin lymphoma,Rate,1995,0.48206384,0.519447238,0.387861455
Deaths,Global,Both,All ages,Thyroid cancer,Rate,2004,0.483675607,0.5098009,0.44621024
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,2000,0.487503063,0.507963515,0.454976777
Deaths,Global,Both,All ages,Other neoplasms,Rate,1999,0.489979343,0.648934346,0.417439102
Deaths,Global,Both,All ages,Hodgkin lymphoma,Rate,1994,0.490546885,0.529725543,0.392582474
Deaths,Global,Both,All ages,Thyroid cancer,Rate,2005,0.492773046,0.519831798,0.454635098
Deaths,Global,Both,All ages,Hodgkin lymphoma,Rate,1993,0.496913631,0.538488707,0.395113148
Deaths,Global,Both,All ages,Other neoplasms,Rate,2000,0.498950094,0.655281052,0.423757318
Deaths,Global,Both,All ages,Thyroid cancer,Rate,2006,0.499962068,0.524969096,0.460332702
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,2001,0.501475307,0.52315082,0.468424405
Deaths,Global,Both,All ages,Hodgkin lymphoma,Rate,1992,0.503700801,0.549296903,0.397741581
Deaths,Global,Both,All ages,Thyroid cancer,Rate,2007,0.506990264,0.531060338,0.466672365
Deaths,Global,Both,All ages,Other neoplasms,Rate,2001,0.508246254,0.66623231,0.430906673
Deaths,Global,Both,All ages,Hodgkin lymphoma,Rate,1991,0.510198288,0.556416985,0.401144551
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,2002,0.514865854,0.537171333,0.47913542
Deaths,Global,Both,All ages,Hodgkin lymphoma,Rate,1990,0.515941706,0.565155614,0.404934706
Deaths,Global,Both,All ages,Thyroid cancer,Rate,2008,0.517241954,0.541746249,0.475117103
Deaths,Global,Both,All ages,Other neoplasms,Rate,2002,0.51756875,0.675990522,0.439742959
Deaths,Global,Both,All ages,Thyroid cancer,Rate,2009,0.523878863,0.547741313,0.473755596
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,2003,0.525224624,0.547356904,0.490239596
Deaths,Global,Both,All ages,Other neoplasms,Rate,2003,0.526266252,0.687798198,0.446973812
Deaths,Global,Both,All ages,Other neoplasms,Rate,2004,0.532451629,0.693580012,0.450055983
Deaths,Global,Both,All ages,Thyroid cancer,Rate,2010,0.533372801,0.557540882,0.483691497
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,2004,0.535089972,0.559020101,0.496612502
Deaths,Global,Both,All ages,Thyroid cancer,Rate,2011,0.539068835,0.564589409,0.48599884
Deaths,Global,Both,All ages,Other neoplasms,Rate,2005,0.543619508,0.707147185,0.459293655
Deaths,Global,Both,All ages,Thyroid cancer,Rate,2012,0.544250444,0.569589734,0.490382306
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,2005,0.546784657,0.571082318,0.505392549
Deaths,Global,Both,All ages,Thyroid cancer,Rate,2013,0.549360588,0.574001969,0.494015703
Deaths,Global,Both,All ages,Thyroid cancer,Rate,2014,0.551563885,0.577323261,0.499394943
Deaths,Global,Both,All ages,Other neoplasms,Rate,2006,0.554664873,0.714972118,0.468424209
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,2006,0.557486387,0.581927657,0.517063599
Deaths,Global,Both,All ages,Thyroid cancer,Rate,2015,0.558474341,0.585724691,0.506700684
Deaths,Global,Both,All ages,Thyroid cancer,Rate,2016,0.565042298,0.594676738,0.51130151
Deaths,Global,Both,All ages,Other neoplasms,Rate,2007,0.567012717,0.730410915,0.475276234
Deaths,Global,Both,All ages,Thyroid cancer,Rate,2017,0.570205516,0.603059125,0.51330429
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,2007,0.570561149,0.595269917,0.523881016
Deaths,Global,Both,All ages,Thyroid cancer,Rate,2018,0.579411006,0.617446091,0.525865654
Deaths,Global,Both,All ages,Other neoplasms,Rate,2008,0.581293152,0.747666902,0.485922174
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,2008,0.58609196,0.613678882,0.536755579
Deaths,Global,Both,All ages,Thyroid cancer,Rate,2019,0.589029589,0.630378796,0.533632321
Deaths,Global,Both,All ages,Other neoplasms,Rate,2009,0.593563007,0.758632117,0.49422764
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,2009,0.602028306,0.629067504,0.552809698
Deaths,Global,Both,All ages,Other neoplasms,Rate,2010,0.609136155,0.775044914,0.504195352
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,1990,0.618390728,0.805514254,0.520147832
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,2010,0.61966671,0.64768513,0.563052437
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,1991,0.624300996,0.807344517,0.524866262
Deaths,Global,Both,All ages,Other neoplasms,Rate,2011,0.62529955,0.787785257,0.516024794
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,1992,0.633193379,0.813025402,0.531841377
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,2011,0.636372329,0.66609824,0.579422671
Deaths,Global,Both,All ages,Other neoplasms,Rate,2012,0.640560292,0.808701352,0.527426094
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,1993,0.649731763,0.821893682,0.543436372
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,2012,0.650075854,0.682398552,0.594400216
Deaths,Global,Both,All ages,Other neoplasms,Rate,2013,0.655178373,0.823735313,0.53683656
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,1994,0.660572994,0.830482188,0.551523377
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,2013,0.663354096,0.696170718,0.602085121
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,1996,0.666772643,0.826074062,0.550548076
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,1995,0.666796173,0.833562235,0.551456297
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,1997,0.667371043,0.819266356,0.54833855
Deaths,Global,Both,All ages,Other neoplasms,Rate,2014,0.669131534,0.833660246,0.548070712
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,1998,0.671112821,0.816485193,0.54964953
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,2014,0.674658687,0.710849191,0.609125815
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,1999,0.67978822,0.823528393,0.552917055
Deaths,Global,Both,All ages,Other neoplasms,Rate,2015,0.685142213,0.851593418,0.561262589
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,2000,0.685782784,0.826363156,0.554889045
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,2015,0.686987551,0.724197322,0.621419142
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,2001,0.69195296,0.824368744,0.555401513
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,2016,0.696698451,0.737753513,0.628352698
Deaths,Global,Both,All ages,Other neoplasms,Rate,2016,0.698128907,0.86466449,0.571404266
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,2002,0.700254011,0.834801975,0.55869277
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,2017,0.702403973,0.742286033,0.632786412
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,2003,0.70684811,0.840885933,0.562011084
Deaths,Global,Both,All ages,Other neoplasms,Rate,2017,0.707032181,0.878339006,0.582393634
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,2004,0.711970152,0.834581363,0.557712597
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,2018,0.712243359,0.75694276,0.639492033
Deaths,Global,Both,All ages,Other neoplasms,Rate,2018,0.719595,0.90241653,0.59053846
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,2005,0.723867691,0.840381867,0.560296218
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,2019,0.724443462,0.772764521,0.651568038
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,2006,0.727443961,0.835157231,0.557274443
Deaths,Global,Both,All ages,Other neoplasms,Rate,2019,0.734523343,0.910916328,0.602078979
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,2007,0.735411276,0.836146698,0.556660018
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,2008,0.747090064,0.841214915,0.557992688
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,2009,0.754411719,0.84143466,0.558832124
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,2010,0.763634666,0.842572475,0.562410264
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,2011,0.768019327,0.845258385,0.564433934
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,2012,0.773745765,0.849939673,0.564310169
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,2013,0.779637125,0.857301665,0.568105605
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,2014,0.783378928,0.865021313,0.574739329
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,2015,0.793491963,0.882541912,0.578576056
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,2016,0.794372062,0.889197589,0.585896131
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,2017,0.795976005,0.892198764,0.589277074
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,2018,0.804342276,0.909434269,0.591110365
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,2019,0.812198713,0.917621923,0.598606275
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,2009,0.880371878,0.929035027,0.833212757
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,2012,0.881226552,0.938081024,0.831009229
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,2010,0.88259052,0.933588936,0.835405621
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,2011,0.883055648,0.937183952,0.834138533
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,2008,0.883851637,0.933409538,0.838618204
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,2013,0.884247884,0.940617843,0.834577379
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,2014,0.885027376,0.937836871,0.831456893
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,2007,0.88574027,0.932346861,0.841548204
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,2006,0.887287173,0.935613892,0.843822451
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,2015,0.895623082,0.951772872,0.841989553
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,2005,0.897187616,0.951478458,0.85003281
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,2004,0.901307801,0.952750298,0.852017333
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,2016,0.904889875,0.974034486,0.845641361
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,2017,0.908801126,0.976355295,0.842496601
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,2003,0.912385299,0.963837738,0.862805063
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,2018,0.915732589,0.995609365,0.843124904
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,2019,0.92550328,1.00323064,0.84578107
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,2002,0.925875924,0.978168681,0.876197243
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,2001,0.940367972,0.99593014,0.886276993
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,2000,0.958545283,1.010574612,0.901956487
Deaths,Global,Both,All ages,Other pharynx cancer,Rate,1990,0.961888808,1.055297094,0.896728448
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,1999,0.966822606,1.019771116,0.910424409
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,1997,0.968522753,1.023333432,0.912377413
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,1998,0.968769022,1.02181012,0.912117213
Deaths,Global,Both,All ages,Multiple myeloma,Rate,1990,0.969416218,1.102459658,0.891798988
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,1996,0.971328247,1.025089999,0.913126036
Deaths,Global,Both,All ages,Other pharynx cancer,Rate,1991,0.971572513,1.059551923,0.903372126
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,1995,0.978546933,1.038661505,0.921838578
Deaths,Global,Both,All ages,Multiple myeloma,Rate,1991,0.982336725,1.111771128,0.904818753
Deaths,Global,Both,All ages,Other pharynx cancer,Rate,1992,0.983030927,1.072690002,0.916116879
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,1994,0.98342585,1.048507045,0.918666567
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,1993,0.990819725,1.063216682,0.923064023
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,1992,0.994462871,1.068422989,0.918456509
Deaths,Global,Both,All ages,Multiple myeloma,Rate,1992,0.998506799,1.1236697,0.914281001
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,1990,0.999258576,1.082383203,0.913573299
Deaths,Global,Both,All ages,Nasopharynx cancer,Rate,1991,0.99933733,1.083463452,0.92017286
Deaths,Global,Both,All ages,Other pharynx cancer,Rate,1993,1.002885629,1.087027414,0.940849546
Deaths,Global,Both,All ages,Other pharynx cancer,Rate,1994,1.017508737,1.09265392,0.960910486
Deaths,Global,Both,All ages,Multiple myeloma,Rate,1993,1.018697262,1.142880088,0.938864817
Deaths,Global,Both,All ages,Other pharynx cancer,Rate,1995,1.021033454,1.096822361,0.966474649
Deaths,Global,Both,All ages,Other pharynx cancer,Rate,1996,1.036052382,1.11289904,0.977852979
Deaths,Global,Both,All ages,Multiple myeloma,Rate,1994,1.037396001,1.163062715,0.940723318
Deaths,Global,Both,All ages,Uterine cancer,Rate,1991,1.045327602,1.123316494,0.949271941
Deaths,Global,Both,All ages,Uterine cancer,Rate,1992,1.046967567,1.123289949,0.951660696
Deaths,Global,Both,All ages,Uterine cancer,Rate,1990,1.049187988,1.125237647,0.955240121
Deaths,Global,Both,All ages,Multiple myeloma,Rate,1995,1.054108304,1.172014319,0.957101815
Deaths,Global,Both,All ages,Uterine cancer,Rate,1996,1.055758125,1.117675372,0.95364697
Deaths,Global,Both,All ages,Uterine cancer,Rate,1997,1.05640276,1.120649228,0.957833209
Deaths,Global,Both,All ages,Uterine cancer,Rate,1995,1.058023375,1.131447884,0.966228294
Deaths,Global,Both,All ages,Other pharynx cancer,Rate,1997,1.060319831,1.136661506,1.002429825
Deaths,Global,Both,All ages,Uterine cancer,Rate,1998,1.060416439,1.119816796,0.953949891
Deaths,Global,Both,All ages,Uterine cancer,Rate,1993,1.061728554,1.133032301,0.96712755
Deaths,Global,Both,All ages,Uterine cancer,Rate,1994,1.066167176,1.142654071,0.979522833
Deaths,Global,Both,All ages,Multiple myeloma,Rate,1996,1.069429152,1.174168056,0.96856162
Deaths,Global,Both,All ages,Other pharynx cancer,Rate,1998,1.07130154,1.139661183,1.016418377
Deaths,Global,Both,All ages,Uterine cancer,Rate,1999,1.076511391,1.140817253,0.966725146
Deaths,Global,Both,All ages,Other pharynx cancer,Rate,1999,1.07793386,1.139824968,1.022155578
Deaths,Global,Both,All ages,Uterine cancer,Rate,2000,1.08418644,1.149825217,0.969300855
Deaths,Global,Both,All ages,Multiple myeloma,Rate,1997,1.086646778,1.188869704,0.978857269
Deaths,Global,Both,All ages,Other pharynx cancer,Rate,2000,1.089726447,1.154925514,1.034665511
Deaths,Global,Both,All ages,Uterine cancer,Rate,2001,1.090630149,1.159012533,0.977596834
Deaths,Global,Both,All ages,Other pharynx cancer,Rate,2001,1.101844085,1.157245841,1.047501329
Deaths,Global,Both,All ages,Uterine cancer,Rate,2002,1.102612256,1.17065697,0.983309122
Deaths,Global,Both,All ages,Multiple myeloma,Rate,1998,1.104824888,1.202883697,0.990299557
Deaths,Global,Both,All ages,Uterine cancer,Rate,2004,1.113579393,1.176326564,0.983741862
Deaths,Global,Both,All ages,Uterine cancer,Rate,2003,1.114098386,1.185427538,0.992911337
Deaths,Global,Both,All ages,Uterine cancer,Rate,2006,1.115723917,1.178212219,0.981453077
Deaths,Global,Both,All ages,Other pharynx cancer,Rate,2002,1.115836773,1.17407379,1.064290703
Deaths,Global,Both,All ages,Uterine cancer,Rate,2007,1.117200068,1.180769166,0.973560948
